Video;Kategorie;Art;durchgeschaut;views;Sonstiges;vergangene Zeit;Account
1;Random;;;;;;
2;Random;;;;;;
3;Comedy;;;;;;
4;Anzeige;;;;;;
5;Comedy;;;;;;
6;Random;;;;;;
7;Militär;;;;;;
8;Comedy;;;;;;
9;War U R;;;;;;
10;Impfung negativ;Meinung, Satire;ja;438.2k;Comedy über die Impfung;;kenny4everr
11;Comedy;;;;;;
12;Anzeige;;;;;;
13;Comedy;;;;;;
14;War U R;;;;;;
15;Comedy;;;;;;
16;Random;;;;;;
17;Comedy;;;;;;
18;Comedy;;;;;;
19;Comedy;;;;;;
20;Anzeige;;;;;;
21;War U R;;;;;;
22;Random;;;;;;
23;Comedy;;;;;;
24;Random;;;;;;
25;Random;;;;;;
26;Random;;;;;;
27;War U R;;;;;;
28;Dance;;;;;;
29;Comedy;;;;;;
30;War U R;;;;;;
31;Comedy;;;;;;
32;War U R;;;;;;
33;Comedy;;;;;;
34;Random;;;;;;
35;Comedy;;;;;;
36;Comedy;;;;;;
37;Random;;;;;;
38;Random;;;;;;
39;Random;;;;;;
40;Comedy;;;;;;
41;Random;;;;;;
42;Comedy;;;;;;
43;Comedy;;;;;;
44;Random;;;;;;
45;Random;;;;;;
46;War U R;;;;;;
47;Random;;;;;;
48;Comedy;;;;;;
49;Comedy;;;;;;
50;Random;;;;;;
51;Random;;;;;;
52;Anzeige;;;;;;
53;Comedy;;;;;;
54;Random;;;;;;
55;Merkel positiv;;;;;;
56;Random;;;;;;
57;Comedy;;;;;;
58;Random;;;;;;
59;Random;;;;;;
60;Anzeige;;;;;;
61;Random;;;;;;
62;Random;;;;;;
63;Random;;;;;;
64;Random;;;;;;
65;Random;;;;;;
66;Random;;;;;;
67;Comedy;;;;;;
68;Anzeige;;;;;;
69;Medizin;;;;;;
70;Random;;;;;;
71;Comedy;;;;;;
72;Random;;;;;;
73;Random;;;;;;
74;Comedy;;;;;;
75;Comedy;;;;;;
76;Random;;;;;;
77;Random;;;;;;
78;Comedy;;;;;;
79;Random;;;;;;
80;Random;;;;;;
81;Random;;;;;;
82;Random;;;;;;
83;Random;;;;;;
84;Comedy;;;;;;
85;Random;;;;;;
86;Random;;;;;;
87;Dance;;;;;;
88;Comedy;;;;;;
89;War U R;;;;;;
90;Comedy;;;;;;
91;Comedy;;;;;;
92;Random;;;;;;
93;War U R;;;;;;
94;Comedy;;;;;;
95;Comedy;;;;;;
96;Comedy;;;;;;
97;War U R;;;;;;
98;Comedy;;;;;;
99;Random;;;;;;
100;Corona kritisch;eigenes Video;ja;6.3 mio;positiver Coronatest von Redbull;2 min 46 sek;
101;Comedy;;;;;;
102;War U R;;;;;;
103;Random;;;;;;
104;Comedy;;;;;;
105;Impfung negativ;Meinung, Satire;ja;108.8 k;negativer Beitrag über Impfpflicht;;
106;Merkel positiv;;;;;;
107;War U R;;;;;;
108;Random;;;;;;
109;Random;;;;;;
110;War U R;;;;;;
111;Random;;;;;;
112;Comedy;;;;;;
113;Random;;;;;;
114;Comedy;;;;;;
115;Militär;;;;;;
116;Comedy;;;;;;
117;Random;;;;;;
118;Comedy;;;;;;
119;Random;;;;;;
120;Comedy;;;;;;
121;Random;;;;;;
122;Random;;;;;;
123;Comedy;;;;;;
124;War U R;;;;;;
125;Comedy;;;;;;
126;Random;;;;;;
127;Comedy;;;;;;
128;Comedy;;;;;;
129;War U R;;;;;;
130;Comedy;;;;;;
131;Random;;;;;;
132;Random;;;;;;
133;Random;;;;;;
134;Random;;;;;;
135;Random;;;;;;
136;War U R;;;;;;
137;Random;;;;;;
138;Random;;;;;;
139;Random;;;;;;
140;Comedy;;;;;;
141;Comedy;;;;;;
142;Random;;;;;;
143;Random;;;;;;
144;Comedy;;;;;;
145;Random;;;;;;
146;Random;;;;;;
147;Random;;;;;;
148;Comedy;;;;;;
149;Random;;;;;;
